price > 0	price > 0
x != 5	x <> 5
( price  >  0 )	price > 0
a AND b OR c	(a AND b) OR c
status IN ('active', 'archived')	status IN ('active', 'archived')
status = ANY(ARRAY['active', 'archived'])	status IN ('active', 'archived')
id = ANY(ARRAY[1, 2, 3])	id IN (1, 2, 3)
x::integer	x::int
x::int4	x::int
n::smallint > 0	n::smallint > 0
amount::numeric(10, 2) > 0	amount::numeric(10, 2) > 0
flag::boolean	flag::boolean
ratio::float8 > 0.5	ratio::double precision > 0.5
length(name) <= 255	length(name) <= 255
LOWER(email) = email	lower(email) = email
metadata ? 'title'	metadata ? 'title'
jsonb_typeof(payload -> 'count') = 'number'	jsonb_typeof(payload -> 'count') = 'number'
created_at >= now()	created_at >= now()
CASE WHEN x > 0 THEN 'pos' ELSE 'neg' END	CASE WHEN x > 0 THEN 'pos' ELSE 'neg' END
coalesce(a, b, 0)	COALESCE(a, b, 0)
x IS NULL	x IS NULL
x IS NOT NULL	x IS NOT NULL
x BETWEEN 1 AND 10	x BETWEEN 1 AND 10
tags && ARRAY['a', 'b']	tags && ARRAY['a', 'b']
(status)::text = 'active'::text	status::text = 'active'::text
NOT deleted	NOT deleted
a = 1 AND (b = 2 OR c = 3)	a = 1 AND (b = 2 OR c = 3)
substr(code, 1, 3) = 'ABC'	substr(code, 1, 3) = 'ABC'
